GPU_MODEL,GPU_MODEL_mean_encoded
nvidia quadro t1000,1666.7058823529412
nvidia quadro t1200,1380.438125
nvidia quadro t2000,1813.7975
nvidia quadro t500,1933.7695890410957
nvidia rtx 2000 ada,3237.5
nvidia rtx 3500,4710.0
nvidia rtx 4000,4700.4
nvidia rtx a2000,2561.994958677686
nvidia rtx a3000,2846.3664179104476
nvidia rtx a4000,3233.415
nvidia rtx a4500,4650.0
nvidia rtx a500,2023.7150000000001
nvidia rtx a5000,4059.9316071428575
nvidia rtx a5500,3567.2966666666666
nvidia t1200,2358.3592000000003
nvidia t550,2033.01
nvidia t600,1797.5522666666668
radeon hd graphics,415.633
radeon pro wx 4130,274.5
radeon pro wx 4150,571.0
radeon rx 6700xt,1158.6014285714286
radeon vega 3,308.99324766355136
unknown,1429.724
