OEMGROUP,OEMGROUP_mean_encoded
acer,819.3629713766469
all other oems,1720.374364919355
asus,1083.919977194983
dell,1135.617006117767
hp,739.7940468431772
lenovo,862.150575837031
microsoft,1189.8112674132751
samsung,1036.9288588007737
strategic named,1484.35085175704
toshiba,919.5
