STORAGE_TYPE,STORAGE_TYPE_mean_encoded
emmc,362.1567647058823
hdd,533.1099306999307
hdd & optane,479.674427480916
hdd+ssd,1012.2059983896942
hybrid,750.4614516129033
none,297.58000000000004
not specified,906.7933333333333
ssd,1061.702034639701
ssd & optane,1046.1276981707317
