CPU Line,CPU Line_mean_encoded
g,957.8511904761905
h,1505.5189900733708
hs,1569.919507154213
hx,2444.8189338235293
n,383.7075
p,1267.4249288187766
s,1127.6532584269662
u,794.3788652666597
unknown,743.953805209513
x,812.4657142857143
y,1081.9583333333333
