CPU Brand,CPU Brand_mean_encoded
ci3,421.6215558139535
ci5,709.6261733957142
ci7,1313.0607676089335
ci9,2693.3353883495147
cm,317.6666666666667
cm3,511.83487804878047
r3,399.8855925925926
r5,667.4569083877205
r7,940.3213179049939
r9,1855.560387755102
unknown,680.7310344827587
